XIID,Name,Category,Gloss,FeelLight,FeelWhite,FeelNature,Concealer,Lasting,Ductility,Moisture,Seasons,SkinType,SkinCare,opcsRedness,FeelType,Texture,Dull,Decomposition,OilControl,Tips
1,Suqqu Frame Fixx Creamy Foundation,Makeup,8.5,8.2,8.6,8.2,8,8.5,7.5,7,123, __ __,Y,,______,cream,N,,N,_________  ____
2,Century-Twany ___,Makeup,8.5,8,8.8,8.5,8,8.5,7.5,8,1234,__,Y,,______,cream,N,,N,_________
3,Lamer_____,Makeup,9,8.5,9,8.2,7.2,6,8.5,8,134,__ __ _,Y,,____,__,Y,___,N,
4,YSL_____,Makeup,8.8,7.8,8.6,8,7.5,6,8.5,8,134,__ __ _,N,,______,__,Y,___,N,
5,Tom Ford Traceless Perfecting Foundition ____,Makeup,8,7.8,8.2,7.8,7.5,7.5,7,7.5,1234,__ ,N,,__,__,Y,,N,
6,POLA_BA___,Makeup,9,8,8.8,8.5,7.6,7.8,6.8,8,1234,__,N,,______,cream,N,,N,_______ _______ ________________________
7,Guerlain Parure Gold_______,Makeup,9,8,8.8,8.5,8.2,8,7.5,7.8,1234,__,N,_____,______,__,N,,N,__24k____ ____ __________________________
8,Lissage___,Makeup,7.8,7.2,7.8,7.2,7.8,9,6.5,7.5,123,__ __ __ __,N,,__,cream,N,_____,Y,_____
9,_____,Makeup,7.6,7.5,7.8,7.6,7.5,7.5,7,7.2,1234,__,N,,__,__,N,,N,
10,Nars_______ (All Day Luminous Weightless Foundation),Makeup,6.8,7.8,7.2,7.5,8.2,8.5,6.5,6,123,__ __,N,_____,___,__,N,____,Y,______4_1_____________________
11,Nars_______(Velvet Matte Skin Tint SPF30),Makeup,6.5,7.5,7.5,7.8,8.2,8.5,7,6.2,123,__ __,N,_____,___,__,N,____,Y,__________________________________
12,____ Double Wear _____,Makeup,6.2,6.5,7,6.8,8.2,8.2,7.2,7,123,__ __ __ __,N,,__,__,N,,N,
13,__blanc expert,Makeup,7.8,7,6.8,7.2,7.8,7.8,8,7,123,__ __ __ __,N,,__,__,N,,N,
14,Paul&Joe_________,Makeup,6.8,8.5,7,8.2,6,7.5,8,7,123,__ __ ,N,,______,__,N,,N,
15,Ex; beaute,Makeup,7,7.8,7,8,7.2,8,7,7.5,1234,__,N,_____,______,cream,N,,Y,___________________________________
16,Three_____________,Makeup,8.5,8.5,8.3,8.2,6,6.5,8,7.8,134,__ __ _,N,,____,__,N,___,N,_________
17,YSL_____,Makeup,8,7.5,7.5,7.8,7,7.5,7.8,7.6,13,__ __ __,N,,______,__,N,,N,
18,Burbbery,Makeup,7.5,7.5,7.6,7.8,7.3,7.8,7.8,7.8,13,__ __ __,N,,______,__,N,,N,____________________________________
19,Makeup forever_____,Makeup,7,8.2,7.5,8,6.8,7.2,8.2,7.6,1234,__,N,,____,__,N,,N,
20,Bobbi Brown ,Makeup,8.3,7.2,7.2,7.2,7.3,7,7,8,134,__ __ _,N,,__,__,N,,N,_________ ____
21,________,Makeup,7.2,7.6,7.8,7.8,7,6.5,8,7.2,13,__ __ __,N,,__,__,N,,N,_____________ ________ _______
22,Only Mineral,Makeup,8.5,8,7.8,7.5,6,6.8,8,7.7,134,__ __,Y,,____,cream,N,___,N,95%_____5%_____________________________________________30%
23,Cover mark_______,Makeup,7.5,7.5,7.6,8,7.5,6,7,7.8,134,__ __ _,Y,,______,cream,N,___,N,
24,Benefit,Makeup,7.2,7.5,7.8,7.5,7.2,6,7.3,7.5,13,__ __,N,,__,__,N,,N,__________________
25,Excel,Makeup,7,7,7.8,7,7,6,7.5,7,13,__ __ __,N,,__,__,N,,N,
26,___INTEGRATE_______,Makeup,6.2,6.8,7,6.8,6.8,5.5,7,7,13,__ __ __,N,,__,__,N,,N,
27,_______,Makeup,6.5,6.5,7,6.8,7,7.6,7.5,6.5,123,__ __ __ ,N,,__,__,N,,Y,
28,_________,Makeup,6.2,6.5,7,6.5,7.8,8,7,6.5,123,__ __ __ ,N,,__,__,N,,N,
29,Kate,Makeup,6.8,7.2,7.5,7,7.2,6.5,6.8,6.5,13,__ __ __,N,,__,cream,N,,N,
30,___light infusing foundation,Makeup,7.8,8,7,7.8,6,7,8,7,13,__ __ __,N,,____,__,N,,N,